m1,m2,len,depth_oracles,depth_addition
0,2,1,86,248
0,3,2,291,155
0,4,3,38,360
0,5,4,200,107
0,6,5,141,269
0,7,6,338,210
0,8,7,7,407
0,9,8,180,76
0,10,9,93,249
0,11,10,308,162
0,12,11,42,377
0,13,12,220,111
0,14,13,152,289
0,15,14,338,221
0,16,15,1,407
0,17,16,189,70
0,18,17,84,258
0,19,18,284,153
0,20,19,39,353
0,21,20,200,108
0,22,21,140,269
0,23,22,338,209
0,24,23,7,407
0,25,24,175,76
0,26,25,93,244
0,27,26,299,162
0,28,27,42,368
0,29,28,240,111
0,30,29,145,309
0,31,30,332,214
1,3,1,470,248
1,4,2,217,155
1,5,3,379,360
1,6,4,320,107
1,7,5,517,269
1,8,6,186,210
1,9,7,359,407
1,10,8,272,76
1,11,9,487,249
1,12,10,221,162
1,13,11,399,377
1,14,12,331,111
1,15,13,517,289
1,16,14,180,221
1,17,15,368,407
1,18,16,263,70
1,19,17,463,258
1,20,18,218,153
1,21,19,379,353
1,22,20,319,108
1,23,21,517,269
1,24,22,186,209
1,25,23,354,407
1,26,24,272,76
1,27,25,478,244
1,28,26,221,162
1,29,27,419,368
1,30,28,324,111
1,31,29,511,309
2,4,1,124,248
2,5,2,286,155
2,6,3,227,360
2,7,4,424,107
2,8,5,93,269
2,9,6,266,210
2,10,7,179,407
2,11,8,394,76
2,12,9,128,249
2,13,10,306,162
2,14,11,238,377
2,15,12,424,111
2,16,13,87,289
2,17,14,275,221
2,18,15,170,407
2,19,16,370,70
2,20,17,125,258
2,21,18,286,153
2,22,19,226,353
2,23,20,424,108
2,24,21,93,269
2,25,22,261,209
2,26,23,179,407
2,27,24,385,76
2,28,25,128,244
2,29,26,326,162
2,30,27,231,368
2,31,28,418,111
3,5,1,491,248
3,6,2,432,155
3,7,3,629,360
3,8,4,298,107
3,9,5,471,269
3,10,6,384,210
3,11,7,599,407
3,12,8,333,76
3,13,9,511,249
3,14,10,443,162
3,15,11,629,377
3,16,12,292,111
3,17,13,480,289
3,18,14,375,221
3,19,15,575,407
3,20,16,330,70
3,21,17,491,258
3,22,18,431,153
3,23,19,629,353
3,24,20,298,108
3,25,21,466,269
3,26,22,384,209
3,27,23,590,407
3,28,24,333,76
3,29,25,531,244
3,30,26,436,162
3,31,27,623,368
4,6,1,179,248
4,7,2,376,155
4,8,3,45,360
4,9,4,218,107
4,10,5,131,269
4,11,6,346,210
4,12,7,80,407
4,13,8,258,76
4,14,9,190,249
4,15,10,376,162
4,16,11,39,377
4,17,12,227,111
4,18,13,122,289
4,19,14,322,221
4,20,15,77,407
4,21,16,238,70
4,22,17,178,258
4,23,18,376,153
4,24,19,45,353
4,25,20,213,108
4,26,21,131,269
4,27,22,337,209
4,28,23,80,407
4,29,24,278,76
4,30,25,183,244
4,31,26,370,162
5,7,1,538,248
5,8,2,207,155
5,9,3,380,360
5,10,4,293,107
5,11,5,508,269
5,12,6,242,210
5,13,7,420,407
5,14,8,352,76
5,15,9,538,249
5,16,10,201,162
5,17,11,389,377
5,18,12,284,111
5,19,13,484,289
5,20,14,239,221
5,21,15,400,407
5,22,16,340,70
5,23,17,538,258
5,24,18,207,153
5,25,19,375,353
5,26,20,293,108
5,27,21,499,269
5,28,22,242,209
5,29,23,440,407
5,30,24,345,76
5,31,25,532,244
6,8,1,148,248
6,9,2,321,155
6,10,3,234,360
6,11,4,449,107
6,12,5,183,269
6,13,6,361,210
6,14,7,293,407
6,15,8,479,76
6,16,9,142,249
6,17,10,330,162
6,18,11,225,377
6,19,12,425,111
6,20,13,180,289
6,21,14,341,221
6,22,15,281,407
6,23,16,479,70
6,24,17,148,258
6,25,18,316,153
6,26,19,234,353
6,27,20,440,108
6,28,21,183,269
6,29,22,381,209
6,30,23,286,407
6,31,24,473,76
7,9,1,518,248
7,10,2,431,155
7,11,3,646,360
7,12,4,380,107
7,13,5,558,269
7,14,6,490,210
7,15,7,676,407
7,16,8,339,76
7,17,9,527,249
7,18,10,422,162
7,19,11,622,377
7,20,12,377,111
7,21,13,538,289
7,22,14,478,221
7,23,15,676,407
7,24,16,345,70
7,25,17,513,258
7,26,18,431,153
7,27,19,637,353
7,28,20,380,108
7,29,21,578,269
7,30,22,483,209
7,31,23,670,407
8,10,1,100,248
8,11,2,315,155
8,12,3,49,360
8,13,4,227,107
8,14,5,159,269
8,15,6,345,210
8,16,7,8,407
8,17,8,196,76
8,18,9,91,249
8,19,10,291,162
8,20,11,46,377
8,21,12,207,111
8,22,13,147,289
8,23,14,345,221
8,24,15,14,407
8,25,16,182,70
8,26,17,100,258
8,27,18,306,153
8,28,19,49,353
8,29,20,247,108
8,30,21,152,269
8,31,22,339,209
9,11,1,488,248
9,12,2,222,155
9,13,3,400,360
9,14,4,332,107
9,15,5,518,269
9,16,6,181,210
9,17,7,369,407
9,18,8,264,76
9,19,9,464,249
9,20,10,219,162
9,21,11,380,377
9,22,12,320,111
9,23,13,518,289
9,24,14,187,221
9,25,15,355,407
9,26,16,273,70
9,27,17,479,258
9,28,18,222,153
9,29,19,420,353
9,30,20,325,108
9,31,21,512,269
10,12,1,135,248
10,13,2,313,155
10,14,3,245,360
10,15,4,431,107
10,16,5,94,269
10,17,6,282,210
10,18,7,177,407
10,19,8,377,76
10,20,9,132,249
10,21,10,293,162
10,22,11,233,377
10,23,12,431,111
10,24,13,100,289
10,25,14,268,221
10,26,15,186,407
10,27,16,392,70
10,28,17,135,258
10,29,18,333,153
10,30,19,238,353
10,31,20,425,108
11,13,1,528,248
11,14,2,460,155
11,15,3,646,360
11,16,4,309,107
11,17,5,497,269
11,18,6,392,210
11,19,7,592,407
11,20,8,347,76
11,21,9,508,249
11,22,10,448,162
11,23,11,646,377
11,24,12,315,111
11,25,13,483,289
11,26,14,401,221
11,27,15,607,407
11,28,16,350,70
11,29,17,548,258
11,30,18,453,153
11,31,19,640,353
12,14,1,194,248
12,15,2,380,155
12,16,3,43,360
12,17,4,231,107
12,18,5,126,269
12,19,6,326,210
12,20,7,81,407
12,21,8,242,76
12,22,9,182,249
12,23,10,380,162
12,24,11,49,377
12,25,12,217,111
12,26,13,135,289
12,27,14,341,221
12,28,15,84,407
12,29,16,282,70
12,30,17,187,258
12,31,18,374,153
13,15,1,558,248
13,16,2,221,155
13,17,3,409,360
13,18,4,304,107
13,19,5,504,269
13,20,6,259,210
13,21,7,420,407
13,22,8,360,76
13,23,9,558,249
13,24,10,227,162
13,25,11,395,377
13,26,12,313,111
13,27,13,519,289
13,28,14,262,221
13,29,15,460,407
13,30,16,365,70
13,31,17,552,258
14,16,1,153,248
14,17,2,341,155
14,18,3,236,360
14,19,4,436,107
14,20,5,191,269
14,21,6,352,210
14,22,7,292,407
14,23,8,490,76
14,24,9,159,249
14,25,10,327,162
14,26,11,245,377
14,27,12,451,111
14,28,13,194,289
14,29,14,392,221
14,30,15,297,407
14,31,16,484,70
15,17,1,527,248
15,18,2,422,155
15,19,3,622,360
15,20,4,377,107
15,21,5,538,269
15,22,6,478,210
15,23,7,676,407
15,24,8,345,76
15,25,9,513,249
15,26,10,431,162
15,27,11,637,377
15,28,12,380,111
15,29,13,578,289
15,30,14,483,221
15,31,15,670,407
16,18,1,85,248
16,19,2,285,155
16,20,3,40,360
16,21,4,201,107
16,22,5,141,269
16,23,6,339,210
16,24,7,8,407
16,25,8,176,76
16,26,9,94,249
16,27,10,300,162
16,28,11,43,377
16,29,12,241,111
16,30,13,146,289
16,31,14,333,221
17,19,1,473,248
17,20,2,228,155
17,21,3,389,360
17,22,4,329,107
17,23,5,527,269
17,24,6,196,210
17,25,7,364,407
17,26,8,282,76
17,27,9,488,249
17,28,10,231,162
17,29,11,429,377
17,30,12,334,111
17,31,13,521,289
18,20,1,123,248
18,21,2,284,155
18,22,3,224,360
